date,hour,pandal_name,latitude,longitude,weather,base_popularity,crowd_count,risk_level
2025-10-01,1,Jodhpur Park,22.51,88.369,Light Rain,6,0,Green
2025-10-01,2,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,1463,Green
2025-10-01,2,College Square,22.579,88.363,Clear,9,988,Green
2025-10-01,2,Deshapriya Park,22.5263,88.3642,Clear,8,625,Green
2025-10-01,2,Kumartuli Park,22.595,88.358,Clear,7,754,Green
2025-10-01,2,Suruchi Sangha,22.518,88.347,Clear,8,257,Green
2025-10-01,2,Sreebhumi Sporting Club,22.578,88.421,Clear,9,155,Green
2025-10-01,2,Ekdalia Evergreen,22.522,88.356,Clear,7,722,Green
2025-10-01,2,Tridhara Sammilani,22.515,88.362,Clear,6,258,Green
2025-10-01,2,Badamtala Ashar Sangha,22.535,88.345,Clear,7,85,Green
2025-10-01,2,Naktala Udayan Sangha,22.489,88.372,Clear,6,155,Green
2025-10-01,2,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,80,Green
2025-10-01,2,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,530,Green
2025-10-01,2,Santosh Mitra Square,22.571,88.356,Clear,8,734,Green
2025-10-01,2,Mohammad Ali Park,22.575,88.351,Clear,8,826,Green
2025-10-01,2,Jodhpur Park,22.51,88.369,Clear,6,688,Green
2025-10-01,3,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,856,Green
2025-10-01,3,College Square,22.579,88.363,Clear,9,378,Green
2025-10-01,3,Deshapriya Park,22.5263,88.3642,Clear,8,467,Green
2025-10-01,3,Kumartuli Park,22.595,88.358,Clear,7,589,Green
2025-10-01,3,Suruchi Sangha,22.518,88.347,Clear,8,852,Green
2025-10-01,3,Sreebhumi Sporting Club,22.578,88.421,Clear,9,486,Green
2025-10-01,3,Ekdalia Evergreen,22.522,88.356,Clear,7,434,Green
2025-10-01,3,Tridhara Sammilani,22.515,88.362,Clear,6,88,Green
2025-10-01,3,Badamtala Ashar Sangha,22.535,88.345,Clear,7,131,Green
2025-10-01,3,Naktala Udayan Sangha,22.489,88.372,Clear,6,663,Green
2025-10-01,3,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,826,Green
2025-10-01,3,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,468,Green
2025-10-01,3,Santosh Mitra Square,22.571,88.356,Clear,8,861,Green
2025-10-01,3,Mohammad Ali Park,22.575,88.351,Clear,8,668,Green
2025-10-01,3,Jodhpur Park,22.51,88.369,Clear,6,226,Green
2025-10-01,4,Bagbazar Sarbojanin,22.5958,88.3697,Light Rain,9,889,Green
2025-10-01,4,College Square,22.579,88.363,Light Rain,9,542,Green
2025-10-01,4,Deshapriya Park,22.5263,88.3642,Light Rain,8,1403,Green
2025-10-01,4,Kumartuli Park,22.595,88.358,Light Rain,7,66,Green
2025-10-01,4,Suruchi Sangha,22.518,88.347,Light Rain,8,272,Green
2025-10-01,4,Sreebhumi Sporting Club,22.578,88.421,Light Rain,9,422,Green
2025-10-01,4,Ekdalia Evergreen,22.522,88.356,Light Rain,7,0,Green
2025-10-01,4,Tridhara Sammilani,22.515,88.362,Light Rain,6,606,Green
2025-10-01,4,Badamtala Ashar Sangha,22.535,88.345,Light Rain,7,614,Green
2025-10-01,4,Naktala Udayan Sangha,22.489,88.372,Light Rain,6,299,Green
2025-10-01,4,Bosepukur Sitala Mandir,22.505,88.39,Light Rain,6,133,Green
2025-10-01,4,Dum Dum Park Tarun Dal,22.615,88.398,Light Rain,7,0,Green
2025-10-01,4,Santosh Mitra Square,22.571,88.356,Light Rain,8,155,Green
2025-10-01,4,Mohammad Ali Park,22.575,88.351,Light Rain,8,615,Green
2025-10-01,4,Jodhpur Park,22.51,88.369,Light Rain,6,230,Green
2025-10-01,5,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,501,Green
2025-10-01,5,College Square,22.579,88.363,Clear,9,904,Green
2025-10-01,5,Deshapriya Park,22.5263,88.3642,Clear,8,658,Green
2025-10-01,5,Kumartuli Park,22.595,88.358,Clear,7,331,Green
2025-10-01,5,Suruchi Sangha,22.518,88.347,Clear,8,713,Green
2025-10-01,5,Sreebhumi Sporting Club,22.578,88.421,Clear,9,659,Green
2025-10-01,5,Ekdalia Evergreen,22.522,88.356,Clear,7,780,Green
2025-10-01,5,Tridhara Sammilani,22.515,88.362,Clear,6,209,Green
2025-10-01,5,Badamtala Ashar Sangha,22.535,88.345,Clear,7,391,Green
2025-10-01,5,Naktala Udayan Sangha,22.489,88.372,Clear,6,302,Green
2025-10-01,5,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,0,Green
2025-10-01,5,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,578,Green
2025-10-01,5,Santosh Mitra Square,22.571,88.356,Clear,8,638,Green
2025-10-01,5,Mohammad Ali Park,22.575,88.351,Clear,8,561,Green
2025-10-01,5,Jodhpur Park,22.51,88.369,Clear,6,349,Green
2025-10-01,6,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,1771,Green
2025-10-01,6,College Square,22.579,88.363,Clear,9,1803,Green
2025-10-01,6,Deshapriya Park,22.5263,88.3642,Clear,8,1815,Green
2025-10-01,6,Kumartuli Park,22.595,88.358,Clear,7,1420,Green
2025-10-01,6,Suruchi Sangha,22.518,88.347,Clear,8,1744,Green
2025-10-01,6,Sreebhumi Sporting Club,22.578,88.421,Clear,9,1283,Green
2025-10-01,6,Ekdalia Evergreen,22.522,88.356,Clear,7,1187,Green
2025-10-01,6,Tridhara Sammilani,22.515,88.362,Clear,6,1681,Green
2025-10-01,6,Badamtala Ashar Sangha,22.535,88.345,Clear,7,1464,Green
2025-10-01,6,Naktala Udayan Sangha,22.489,88.372,Clear,6,757,Green
2025-10-01,6,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,938,Green
2025-10-01,6,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,1172,Green
2025-10-01,6,Santosh Mitra Square,22.571,88.356,Clear,8,1710,Green
2025-10-01,6,Mohammad Ali Park,22.575,88.351,Clear,8,1550,Green
2025-10-01,6,Jodhpur Park,22.51,88.369,Clear,6,1062,Green
2025-10-01,7,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,1891,Green
2025-10-01,7,College Square,22.579,88.363,Clear,9,1832,Green
2025-10-01,7,Deshapriya Park,22.5263,88.3642,Clear,8,1770,Green
2025-10-01,7,Kumartuli Park,22.595,88.358,Clear,7,1459,Green
2025-10-01,7,Suruchi Sangha,22.518,88.347,Clear,8,1329,Green
2025-10-01,7,Sreebhumi Sporting Club,22.578,88.421,Clear,9,2232,Green
2025-10-01,7,Ekdalia Evergreen,22.522,88.356,Clear,7,1695,Green
2025-10-01,7,Tridhara Sammilani,22.515,88.362,Clear,6,1497,Green
2025-10-01,7,Badamtala Ashar Sangha,22.535,88.345,Clear,7,1197,Green
2025-10-01,7,Naktala Udayan Sangha,22.489,88.372,Clear,6,1680,Green
2025-10-01,7,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,839,Green
2025-10-01,7,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,1646,Green
2025-10-01,7,Santosh Mitra Square,22.571,88.356,Clear,8,2337,Green
2025-10-01,7,Mohammad Ali Park,22.575,88.351,Clear,8,1382,Green
2025-10-01,7,Jodhpur Park,22.51,88.369,Clear,6,1090,Green
2025-10-01,8,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,2401,Green
2025-10-01,8,College Square,22.579,88.363,Clear,9,2152,Green
2025-10-01,8,Deshapriya Park,22.5263,88.3642,Clear,8,1682,Green
2025-10-01,8,Kumartuli Park,22.595,88.358,Clear,7,1360,Green
2025-10-01,8,Suruchi Sangha,22.518,88.347,Clear,8,1874,Green
2025-10-01,8,Sreebhumi Sporting Club,22.578,88.421,Clear,9,1523,Green
2025-10-01,8,Ekdalia Evergreen,22.522,88.356,Clear,7,1630,Green
2025-10-01,8,Tridhara Sammilani,22.515,88.362,Clear,6,985,Green
2025-10-01,8,Badamtala Ashar Sangha,22.535,88.345,Clear,7,1656,Green
2025-10-01,8,Naktala Udayan Sangha,22.489,88.372,Clear,6,1211,Green
2025-10-01,8,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,1143,Green
2025-10-01,8,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,1204,Green
2025-10-01,8,Santosh Mitra Square,22.571,88.356,Clear,8,1572,Green
2025-10-01,8,Mohammad Ali Park,22.575,88.351,Clear,8,1846,Green
2025-10-01,8,Jodhpur Park,22.51,88.369,Clear,6,1573,Green
2025-10-01,9,Bagbazar Sarbojanin,22.5958,88.3697,Cloudy,9,1858,Green
2025-10-01,9,College Square,22.579,88.363,Cloudy,9,1218,Green
2025-10-01,9,Deshapriya Park,22.5263,88.3642,Cloudy,8,1567,Green
2025-10-01,9,Kumartuli Park,22.595,88.358,Cloudy,7,1400,Green
2025-10-01,9,Suruchi Sangha,22.518,88.347,Cloudy,8,1746,Green
2025-10-01,9,Sreebhumi Sporting Club,22.578,88.421,Cloudy,9,1329,Green
2025-10-01,9,Ekdalia Evergreen,22.522,88.356,Cloudy,7,926,Green
2025-10-01,9,Tridhara Sammilani,22.515,88.362,Cloudy,6,1290,Green
2025-10-01,9,Badamtala Ashar Sangha,22.535,88.345,Cloudy,7,1412,Green
2025-10-01,9,Naktala Udayan Sangha,22.489,88.372,Cloudy,6,1209,Green
2025-10-01,9,Bosepukur Sitala Mandir,22.505,88.39,Cloudy,6,1237,Green
2025-10-01,9,Dum Dum Park Tarun Dal,22.615,88.398,Cloudy,7,1118,Green
2025-10-01,9,Santosh Mitra Square,22.571,88.356,Cloudy,8,1581,Green
2025-10-01,9,Mohammad Ali Park,22.575,88.351,Cloudy,8,1599,Green
2025-10-01,9,Jodhpur Park,22.51,88.369,Cloudy,6,919,Green
2025-10-01,10,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,3202,Green
2025-10-01,10,College Square,22.579,88.363,Clear,9,2784,Green
2025-10-01,10,Deshapriya Park,22.5263,88.3642,Clear,8,3114,Green
2025-10-01,10,Kumartuli Park,22.595,88.358,Clear,7,2847,Green
2025-10-01,10,Suruchi Sangha,22.518,88.347,Clear,8,3020,Green
2025-10-01,10,Sreebhumi Sporting Club,22.578,88.421,Clear,9,2863,Green
2025-10-01,10,Ekdalia Evergreen,22.522,88.356,Clear,7,2224,Green
2025-10-01,10,Tridhara Sammilani,22.515,88.362,Clear,6,1760,Green
2025-10-01,10,Badamtala Ashar Sangha,22.535,88.345,Clear,7,2680,Green
2025-10-01,10,Naktala Udayan Sangha,22.489,88.372,Clear,6,2480,Green
2025-10-01,10,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,2227,Green
2025-10-01,10,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,2732,Green
2025-10-01,10,Santosh Mitra Square,22.571,88.356,Clear,8,2539,Green
2025-10-01,10,Mohammad Ali Park,22.575,88.351,Clear,8,2843,Green
2025-10-01,10,Jodhpur Park,22.51,88.369,Clear,6,1689,Green
2025-10-01,11,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,2918,Green
2025-10-01,11,College Square,22.579,88.363,Clear,9,3126,Green
2025-10-01,11,Deshapriya Park,22.5263,88.3642,Clear,8,2902,Green
2025-10-01,11,Kumartuli Park,22.595,88.358,Clear,7,2533,Green
2025-10-01,11,Suruchi Sangha,22.518,88.347,Clear,8,3048,Green
2025-10-01,11,Sreebhumi Sporting Club,22.578,88.421,Clear,9,3153,Green
2025-10-01,11,Ekdalia Evergreen,22.522,88.356,Clear,7,2886,Green
2025-10-01,11,Tridhara Sammilani,22.515,88.362,Clear,6,2020,Green
2025-10-01,11,Badamtala Ashar Sangha,22.535,88.345,Clear,7,3266,Green
2025-10-01,11,Naktala Udayan Sangha,22.489,88.372,Clear,6,2287,Green
2025-10-01,11,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,1842,Green
2025-10-01,11,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,2128,Green
2025-10-01,11,Santosh Mitra Square,22.571,88.356,Clear,8,2944,Green
2025-10-01,11,Mohammad Ali Park,22.575,88.351,Clear,8,2732,Green
2025-10-01,11,Jodhpur Park,22.51,88.369,Clear,6,2314,Green
2025-10-01,12,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,3112,Green
2025-10-01,12,College Square,22.579,88.363,Clear,9,3372,Green
2025-10-01,12,Deshapriya Park,22.5263,88.3642,Clear,8,2664,Green
2025-10-01,12,Kumartuli Park,22.595,88.358,Clear,7,2683,Green
2025-10-01,12,Suruchi Sangha,22.518,88.347,Clear,8,3113,Green
2025-10-01,12,Sreebhumi Sporting Club,22.578,88.421,Clear,9,3047,Green
2025-10-01,12,Ekdalia Evergreen,22.522,88.356,Clear,7,2172,Green
2025-10-01,12,Tridhara Sammilani,22.515,88.362,Clear,6,1946,Green
2025-10-01,12,Badamtala Ashar Sangha,22.535,88.345,Clear,7,2663,Green
2025-10-01,12,Naktala Udayan Sangha,22.489,88.372,Clear,6,2127,Green
2025-10-01,12,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,2289,Green
2025-10-01,12,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,2978,Green
2025-10-01,12,Santosh Mitra Square,22.571,88.356,Clear,8,2869,Green
2025-10-01,12,Mohammad Ali Park,22.575,88.351,Clear,8,2557,Green
2025-10-01,12,Jodhpur Park,22.51,88.369,Clear,6,2417,Green
2025-10-01,13,Bagbazar Sarbojanin,22.5958,88.3697,Cloudy,9,2850,Green
2025-10-01,13,College Square,22.579,88.363,Cloudy,9,3159,Green
2025-10-01,13,Deshapriya Park,22.5263,88.3642,Cloudy,8,2836,Green
2025-10-01,13,Kumartuli Park,22.595,88.358,Cloudy,7,1791,Green
2025-10-01,13,Suruchi Sangha,22.518,88.347,Cloudy,8,2238,Green
2025-10-01,13,Sreebhumi Sporting Club,22.578,88.421,Cloudy,9,2989,Green
2025-10-01,13,Ekdalia Evergreen,22.522,88.356,Cloudy,7,2359,Green
2025-10-01,13,Tridhara Sammilani,22.515,88.362,Cloudy,6,2044,Green
2025-10-01,13,Badamtala Ashar Sangha,22.535,88.345,Cloudy,7,3360,Green
2025-10-01,13,Naktala Udayan Sangha,22.489,88.372,Cloudy,6,2061,Green
2025-10-01,13,Bosepukur Sitala Mandir,22.505,88.39,Cloudy,6,2230,Green
2025-10-01,13,Dum Dum Park Tarun Dal,22.615,88.398,Cloudy,7,2491,Green
2025-10-01,13,Santosh Mitra Square,22.571,88.356,Cloudy,8,2715,Green
2025-10-01,13,Mohammad Ali Park,22.575,88.351,Cloudy,8,2425,Green
2025-10-01,13,Jodhpur Park,22.51,88.369,Cloudy,6,2117,Green
2025-10-01,14,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,4459,Yellow
2025-10-01,14,College Square,22.579,88.363,Clear,9,4153,Yellow
2025-10-01,14,Deshapriya Park,22.5263,88.3642,Clear,8,3908,Green
2025-10-01,14,Kumartuli Park,22.595,88.358,Clear,7,3269,Green
2025-10-01,14,Suruchi Sangha,22.518,88.347,Clear,8,3383,Green
2025-10-01,14,Sreebhumi Sporting Club,22.578,88.421,Clear,9,4517,Yellow
2025-10-01,14,Ekdalia Evergreen,22.522,88.356,Clear,7,3305,Green
2025-10-01,14,Tridhara Sammilani,22.515,88.362,Clear,6,2964,Green
2025-10-01,14,Badamtala Ashar Sangha,22.535,88.345,Clear,7,3162,Green
2025-10-01,14,Naktala Udayan Sangha,22.489,88.372,Clear,6,2839,Green
2025-10-01,14,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,3408,Green
2025-10-01,14,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,3468,Green
2025-10-01,14,Santosh Mitra Square,22.571,88.356,Clear,8,4084,Yellow
2025-10-01,14,Mohammad Ali Park,22.575,88.351,Clear,8,3538,Green
2025-10-01,14,Jodhpur Park,22.51,88.369,Clear,6,3656,Green
2025-10-01,15,Bagbazar Sarbojanin,22.5958,88.3697,Cloudy,9,4522,Yellow
2025-10-01,15,College Square,22.579,88.363,Cloudy,9,3361,Green
2025-10-01,15,Deshapriya Park,22.5263,88.3642,Cloudy,8,3583,Green
2025-10-01,15,Kumartuli Park,22.595,88.358,Cloudy,7,2888,Green
2025-10-01,15,Suruchi Sangha,22.518,88.347,Cloudy,8,3783,Green
2025-10-01,15,Sreebhumi Sporting Club,22.578,88.421,Cloudy,9,3731,Green
2025-10-01,15,Ekdalia Evergreen,22.522,88.356,Cloudy,7,3052,Green
2025-10-01,15,Tridhara Sammilani,22.515,88.362,Cloudy,6,2797,Green
2025-10-01,15,Badamtala Ashar Sangha,22.535,88.345,Cloudy,7,3346,Green
2025-10-01,15,Naktala Udayan Sangha,22.489,88.372,Cloudy,6,2285,Green
2025-10-01,15,Bosepukur Sitala Mandir,22.505,88.39,Cloudy,6,2545,Green
2025-10-01,15,Dum Dum Park Tarun Dal,22.615,88.398,Cloudy,7,2944,Green
2025-10-01,15,Santosh Mitra Square,22.571,88.356,Cloudy,8,3332,Green
2025-10-01,15,Mohammad Ali Park,22.575,88.351,Cloudy,8,4057,Yellow
2025-10-01,15,Jodhpur Park,22.51,88.369,Cloudy,6,2767,Green
2025-10-01,16,Bagbazar Sarbojanin,22.5958,88.3697,Cloudy,9,4082,Yellow
2025-10-01,16,College Square,22.579,88.363,Cloudy,9,4464,Yellow
2025-10-01,16,Deshapriya Park,22.5263,88.3642,Cloudy,8,3129,Green
2025-10-01,16,Kumartuli Park,22.595,88.358,Cloudy,7,3640,Green
2025-10-01,16,Suruchi Sangha,22.518,88.347,Cloudy,8,3308,Green
2025-10-01,16,Sreebhumi Sporting Club,22.578,88.421,Cloudy,9,3585,Green
2025-10-01,16,Ekdalia Evergreen,22.522,88.356,Cloudy,7,3015,Green
2025-10-01,16,Tridhara Sammilani,22.515,88.362,Cloudy,6,3207,Green
2025-10-01,16,Badamtala Ashar Sangha,22.535,88.345,Cloudy,7,3081,Green
2025-10-01,16,Naktala Udayan Sangha,22.489,88.372,Cloudy,6,2366,Green
2025-10-01,16,Bosepukur Sitala Mandir,22.505,88.39,Cloudy,6,2257,Green
2025-10-01,16,Dum Dum Park Tarun Dal,22.615,88.398,Cloudy,7,3055,Green
2025-10-01,16,Santosh Mitra Square,22.571,88.356,Cloudy,8,2929,Green
2025-10-01,16,Mohammad Ali Park,22.575,88.351,Cloudy,8,3137,Green
2025-10-01,16,Jodhpur Park,22.51,88.369,Cloudy,6,3108,Green
2025-10-01,17,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,4806,Yellow
2025-10-01,17,College Square,22.579,88.363,Clear,9,4842,Yellow
2025-10-01,17,Deshapriya Park,22.5263,88.3642,Clear,8,3489,Green
2025-10-01,17,Kumartuli Park,22.595,88.358,Clear,7,3778,Green
2025-10-01,17,Suruchi Sangha,22.518,88.347,Clear,8,3923,Green
2025-10-01,17,Sreebhumi Sporting Club,22.578,88.421,Clear,9,4115,Yellow
2025-10-01,17,Ekdalia Evergreen,22.522,88.356,Clear,7,3568,Green
2025-10-01,17,Tridhara Sammilani,22.515,88.362,Clear,6,2999,Green
2025-10-01,17,Badamtala Ashar Sangha,22.535,88.345,Clear,7,3249,Green
2025-10-01,17,Naktala Udayan Sangha,22.489,88.372,Clear,6,2960,Green
2025-10-01,17,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,2824,Green
2025-10-01,17,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,3464,Green
2025-10-01,17,Santosh Mitra Square,22.571,88.356,Clear,8,4118,Yellow
2025-10-01,17,Mohammad Ali Park,22.575,88.351,Clear,8,4395,Yellow
2025-10-01,17,Jodhpur Park,22.51,88.369,Clear,6,2568,Green
2025-10-01,18,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,6506,Yellow
2025-10-01,18,College Square,22.579,88.363,Clear,9,6321,Yellow
2025-10-01,18,Deshapriya Park,22.5263,88.3642,Clear,8,5731,Yellow
2025-10-01,18,Kumartuli Park,22.595,88.358,Clear,7,4867,Yellow
2025-10-01,18,Suruchi Sangha,22.518,88.347,Clear,8,5454,Yellow
2025-10-01,18,Sreebhumi Sporting Club,22.578,88.421,Clear,9,6362,Yellow
2025-10-01,18,Ekdalia Evergreen,22.522,88.356,Clear,7,5165,Yellow
2025-10-01,18,Tridhara Sammilani,22.515,88.362,Clear,6,4060,Yellow
2025-10-01,18,Badamtala Ashar Sangha,22.535,88.345,Clear,7,4713,Yellow
2025-10-01,18,Naktala Udayan Sangha,22.489,88.372,Clear,6,4093,Yellow
2025-10-01,18,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,4485,Yellow
2025-10-01,18,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,5335,Yellow
2025-10-01,18,Santosh Mitra Square,22.571,88.356,Clear,8,5708,Yellow
2025-10-01,18,Mohammad Ali Park,22.575,88.351,Clear,8,5774,Yellow
2025-10-01,18,Jodhpur Park,22.51,88.369,Clear,6,4011,Yellow
2025-10-01,19,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,6563,Yellow
2025-10-01,19,College Square,22.579,88.363,Clear,9,6524,Yellow
2025-10-01,19,Deshapriya Park,22.5263,88.3642,Clear,8,5783,Yellow
2025-10-01,19,Kumartuli Park,22.595,88.358,Clear,7,4893,Yellow
2025-10-01,19,Suruchi Sangha,22.518,88.347,Clear,8,5635,Yellow
2025-10-01,19,Sreebhumi Sporting Club,22.578,88.421,Clear,9,6683,Yellow
2025-10-01,19,Ekdalia Evergreen,22.522,88.356,Clear,7,4722,Yellow
2025-10-01,19,Tridhara Sammilani,22.515,88.362,Clear,6,4364,Yellow
2025-10-01,19,Badamtala Ashar Sangha,22.535,88.345,Clear,7,4839,Yellow
2025-10-01,19,Naktala Udayan Sangha,22.489,88.372,Clear,6,4134,Yellow
2025-10-01,19,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,4529,Yellow
2025-10-01,19,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,5147,Yellow
2025-10-01,19,Santosh Mitra Square,22.571,88.356,Clear,8,5844,Yellow
2025-10-01,19,Mohammad Ali Park,22.575,88.351,Clear,8,5991,Yellow
2025-10-01,19,Jodhpur Park,22.51,88.369,Clear,6,4206,Yellow
2025-10-01,20,Bagbazar Sarbojanin,22.5958,88.3697,Clear,9,6228,Yellow
2025-10-01,20,College Square,22.579,88.363,Clear,9,6556,Yellow
2025-10-01,20,Deshapriya Park,22.5263,88.3642,Clear,8,5518,Yellow
2025-10-01,20,Kumartuli Park,22.595,88.358,Clear,7,4716,Yellow
2025-10-01,20,Suruchi Sangha,22.518,88.347,Clear,8,6173,Yellow
2025-10-01,20,Sreebhumi Sporting Club,22.578,88.421,Clear,9,6619,Yellow
2025-10-01,20,Ekdalia Evergreen,22.522,88.356,Clear,7,4362,Yellow
2025-10-01,20,Tridhara Sammilani,22.515,88.362,Clear,6,4065,Yellow
2025-10-01,20,Badamtala Ashar Sangha,22.535,88.345,Clear,7,5261,Yellow
2025-10-01,20,Naktala Udayan Sangha,22.489,88.372,Clear,6,3841,Green
2025-10-01,20,Bosepukur Sitala Mandir,22.505,88.39,Clear,6,4431,Yellow
2025-10-01,20,Dum Dum Park Tarun Dal,22.615,88.398,Clear,7,5100,Yellow
2025-10-01,20,Santosh Mitra Square,22.571,88.356,Clear,8,5390,Yellow
2025-10-01,20,Mohammad Ali Park,22.575,88.351,Clear,8,5597,Yellow
2025-10-01,20,Jodhpur Park,22.51,88.369,Clear,6,3572,Green
2025-10-01,21,Bagbazar Sarbojanin,22.5958,88.3697,Light Rain,9,4941,Yellow
2025-10-01,21,College Square,22.579,88.363,Light Rain,9,4162,Yellow
2025-10-01,21,Deshapriya Park,22.5263,88.3642,Light Rain,8,3823,Green
2025-10-01,21,Kumartuli Park,22.595,88.358,Light Rain,7,3553,Green
2025-10-01,21,Suruchi Sangha,22.518,88.347,Light Rain,8,3750,Green
2025-10-01,21,Sreebhumi Sporting Club,22.578,88.421,Light Rain,9,4163,Yellow
2025-10-01,21,Ekdalia Evergreen,22.522,88.356,Light Rain,7,3503,Green
2025-10-01,21,Tridhara Sammilani,22.515,88.362,Light Rain,6,3013,Green
2025-10-01,21,Badamtala Ashar Sangha,22.535,88.345,Light Rain,7,3277,Green
2025-10-01,21,Naktala Udayan Sangha,22.489,88.372,Light Rain,6,2798,Green
2025-10-01,21,Bosepukur Sitala Mandir,22.505,88.39,Light Rain,6,3009,Green
2025-10-01,21,Dum Dum Park Tarun Dal,22.615,88.398,Light Rain,7,2995,Green
2025-10-01,21,Santosh Mitra Square,22.571,88.356,Light Rain,8,3497,Green
2025-10-01,21,Mohammad Ali Park,22.575,88.351,Light Rain,8,3704,Green
2025-10-01,21,Jodhpur Park,22.51,88.369,Light Rain,6,2875,Green
2025-10-01,22,Bagbazar Sarbojanin,22.5958,88.3697,Light Rain,9,2034,Green
2025-10-01,22,College Square,22.579,88.363,Light Rain,9,3117,Green
2025-10-01,22,Deshapriya Park,22.5263,88.3642,Light Rain,8,2261,Green
2025-10-01,22,Kumartuli Park,22.595,88.358,Light Rain,7,2056,Green
2025-10-01,22,Suruchi Sangha,22.518,88.347,Light Rain,8,2147,Green
